,tweet_text,sentiment,tweet_text_tokens
10,"{link} 6 min Video: Masao Yoshida, of Fukushima Diichi Nuclear Station thanks all for aid and reports current progress.",2,"['min', 'video', 'masao', 'yoshida', 'fukushima', 'diichi', 'nuclear', 'station', 'thanks', 'aid', 'reports', 'current', 'progress']"
11,{link} 74 percent favor gradual reduction of nuclear power plants: Mainichi poll - Mainichi Daily News,2,"['percent', 'favor', 'gradual', 'reduction', 'nuclear', 'power', 'plants', 'mainichi', 'poll', 'mainichi', 'daily', 'news']"
12,{link} Coal seen as possible alternative to nuclear power: EGAT,2,"['coal', 'seen', 'possible', 'alternative', 'nuclear', 'power', 'egat']"
13,{link} Experts are not sure of the economic side project of the Lithuanian nuclear power plant,2,"['experts', 'sure', 'economic', 'side', 'project', 'lithuanian', 'nuclear', 'power', 'plant']"
14,{link} Five Star•_¨ Enters Nuclear Power Supply Market,2,"['five', 'star•¨', 'enters', 'nuclear', 'power', 'supply', 'market']"
15,{link} Five Star•_¨ Enters Nuclear Power Supply Market - PR Newswire (press release),2,"['five', 'star•¨', 'enters', 'nuclear', 'power', 'supply', 'market', 'pr', 'newswire', 'press', 'release']"
16,{link} health newspaper articles Complete rejection of peaceful nuclear energy will require a multi-million dollar inves...,2,"['health', 'newspaper', 'articles', 'complete', 'rejection', 'peaceful', 'nuclear', 'energy', 'require', 'multimillion', 'dollar', 'inves']"
17,{link} India to accord highest safety standards for civil nuclear energy: PM - Economic Times,2,"['india', 'accord', 'highest', 'safety', 'standards', 'civil', 'nuclear', 'energy', 'pm', 'economic', 'times']"
18,{link} Nuclear Power 101 via Arnie Gundersen w #Resume @mention #SCCouncil #NIRS,2,"['nuclear', 'power', 'via', 'arnie', 'gundersen', 'w', 'resume', 'sccouncil', 'nirs']"
19,{link} PM bats for nuclear energy - Times of India,2,"['pm', 'bats', 'nuclear', 'energy', 'times', 'india']"
20,{link} Saudi Arabia's Nuclear Energy Ambitions - Energy Collective,2,"['saudi', 'arabias', 'nuclear', 'energy', 'ambitions', 'energy', 'collective']"
21,"{link} The 1940 Olympics, decreased rice consumption results in improved health, nuclear power per... {link}",2,[]
22,{link} What's happening @mention Fukushima nuclear power plant?!,2,"['whats', 'happening', 'fukushima', 'nuclear', 'power', 'plant']"
23,{link} Would you rather have a few dozen wind turbines or a nuclear power plant near your home? . turbines power,0,"['would', 'rather', 'dozen', 'wind', 'turbines', 'nuclear', 'power', 'plant', 'near', 'home', 'turbines', 'power']"
24,"{link} YNN/Marist Poll: How New Yorkers feel about nuclear power, hydrofracking",2,"['ynnmarist', 'poll', 'new', 'yorkers', 'feel', 'nuclear', 'power', 'hydrofracking']"
25,@mention Ever hears talk of a place in north MI around a nuclear power plant that is bow hunting only?,2,"['ever', 'hears', 'talk', 'place', 'north', 'mi', 'around', 'nuclear', 'power', 'plant', 'bow', 'hunting']"
26,@mention No. It's in north west Missouri it's a WMA around a nuclear power plant. 6000 ac. My buddy was looking to go. Bow only.,2,"['north', 'west', 'missouri', 'wma', 'around', 'nuclear', 'power', 'plant', 'ac', 'buddy', 'looking', 'go', 'bow']"
27,@mention LOL The best bumper sticker I ever saw was: &quot;NUCLEAR POWER IS SAFER THAN TED KENNEDY'S CAR.&quot; I guess that one dates me.,2,"['lol', 'best', 'bumper', 'sticker', 'ever', 'saw', 'guess', 'one', 'dates']"
28,@mention - newamerica9.com is an investment website or are you talking about nuclear energy dangers?,2,"['newamericacom', 'investment', 'website', 'talking', 'nuclear', 'energy', 'dangers']"
29,"RT @mention : Science Saturday: Nuclear energy, melting ice caps, and human adaptation {link}",2,"['science', 'saturday', 'nuclear', 'energy', 'melting', 'ice', 'caps', 'human', 'adaptation']"
30,RT @mention 'Hinkley Point C' - Britain's newest nuclear power station #nuclear,2,"['hinkley', 'point', 'c', 'britains', 'newest', 'nuclear', 'power', 'station', 'nuclear']"
31,@mention @mention - She is a mess. I am thinking of moving back down that way after 2012. Here is another we did: {link},3,"['mess', 'thinking', 'moving', 'back', 'way', 'another']"
32,"RT @mention @mention @mention Corino, your a bigger threat of death than the Limerick Nuclear Power plant...you surviving abortion!",2,"['corino', 'bigger', 'threat', 'death', 'limerick', 'nuclear', 'power', 'plantyou', 'surviving', 'abortion']"
33,"@mention @mention Corino, your a bigger threat of death than the Limerick Nuclear Power plant...you surviving abortion!",2,"['corino', 'bigger', 'threat', 'death', 'limerick', 'nuclear', 'power', 'plantyou', 'surviving', 'abortion']"
34,"RT @mention @mention has &quot;open mind&quot; on nuclear energy, but is concerned about nuclear waste and need for water to run the plant. #cagov #nuclear",2,"['nuclear', 'energy', 'concerned', 'nuclear', 'waste', 'need', 'water', 'run', 'plant', 'cagov', 'nuclear']"
35,RT @mention @mention I want to stop the nuclear power plant all over the world now.So I shout it everyday;)So Thanks for your RT and heart.,0,"['want', 'stop', 'nuclear', 'power', 'plant', 'world', 'nowso', 'shout', 'everydayso', 'thanks', 'heart']"
36,@mention @mention Nuclear Energy is good until something happens. Is it really worth the Risk of Radiation at Extreme Levels! NO!,0,"['nuclear', 'energy', 'good', 'something', 'happens', 'really', 'worth', 'risk', 'radiation', 'extreme', 'levels']"
37,"@mention @mention The only problem is that prosperity was built on nuclear energy and not renewables, so they are in trouble now",0,"['problem', 'prosperity', 'built', 'nuclear', 'energy', 'renewables', 'trouble']"
38,RT @mention @mention Top 10 things Indian citizens could do in case of a #nuclear power plant accident in the country {link},2,"['top', 'things', 'indian', 'citizens', 'could', 'case', 'nuclear', 'power', 'plant', 'accident', 'country']"
39,"RT @mention @mention we gotta pioneer new technologies to help us all endure the radiation, and shut down #nuclear energy plants for good! #Tesla",0,"['gotta', 'pioneer', 'new', 'technologies', 'help', 'us', 'endure', 'radiation', 'shut', 'nuclear', 'energy', 'plants', 'good', 'tesla']"
40,RT @mention &#31119;&#23798;&#31532;&#19968;&#21407;&#30330;&#12289;&#22320;&#38754;&#12364;&#12402;&#12403;&#21106;&#12428;&#12289;&#25918;&#23556;&#33021;&#29289;&#36074;&#12434;&#21547;&#12416;&#33976;&#27671;&#12364;&#19978;&#12364;&#12387;&#12390;&#12356;&#12427;&#12290;&#65288;Russia today &#65289; RT Ground is cracking underneath Fukushima nuclear : {link} #fukushima,2,"['ground', 'cracking', 'underneath', 'fukushima', 'nuclear', 'fukushima']"
41,"@mention &gt;Good decision and further evidence that, like #nuclear power, #SmartGrid can't survive without a #CorporateEntitlement",2,"['good', 'decision', 'evidence', 'like', 'nuclear', 'power', 'smartgrid', 'cant', 'survive', 'without', 'corporateentitlement']"
42,RT @mention #InHarperstopsyturvyCanada Nuclear power is considered safe and affordable.....Green power is not #cdnpoli,1,"['inharperstopsyturvycanada', 'nuclear', 'power', 'considered', 'safe', 'affordablegreen', 'power', 'cdnpoli']"
43,RT @mention #Marxism #Socialism Nuclear power plant workers defeat attack on pensions: After an 18-day strike... {link} #p2 #rebelleft,2,"['marxism', 'socialism', 'nuclear', 'power', 'plant', 'workers', 'defeat', 'attack', 'pensions', 'day', 'strike', 'p', 'rebelleft']"
44,"RT @mention #News #Energy Nuclear power generation to touch 20,000 MW in 20 years {link}",2,"['news', 'energy', 'nuclear', 'power', 'generation', 'touch', 'mw', 'years']"
45,"RT @mention #News #IndustryNews Nuclear power generation to touch 20,000 MW in 20 years {link}",2,"['news', 'industrynews', 'nuclear', 'power', 'generation', 'touch', 'mw', 'years']"
46,RT @mention #nuclear Turkey moves forward with nuclear energy plans - Marketplace.publicradio.org {link},2,"['nuclear', 'turkey', 'moves', 'forward', 'nuclear', 'energy', 'plans', 'marketplacepublicradioorg']"
47,RT @mention #SMR are possibly important #nuclear #technology •_É•_Êit's important not to impede their #development - {link} #nuclear #energy,2,"['smr', 'possibly', 'important', 'nuclear', 'technology', '•é•êits', 'important', 'impede', 'development', 'nuclear', 'energy']"
48,RT @mention #TEPCO to desalinate used fuel pools at #Fukushima Daiichi #nuclear energy facility - {link},2,"['tepco', 'desalinate', 'used', 'fuel', 'pools', 'fukushima', 'daiichi', 'nuclear', 'energy', 'facility']"
49,RT @mention #Utah moving closer to getting its first #nuclear power plant {link},2,"['utah', 'moving', 'closer', 'getting', 'first', 'nuclear', 'power', 'plant']"
50,RT @mention #Vermont #Yankee #Nuclear #Power #Plant #Vermont Groups team up to fight nuclear relicensing {link},2,"['vermont', 'yankee', 'nuclear', 'power', 'plant', 'vermont', 'groups', 'team', 'fight', 'nuclear', 'relicensing']"
51,RT @mention 15 years of French #nuclear #energy use has created so much waste that a *whole room* needs to be dedicated to storage {link},0,"['years', 'french', 'nuclear', 'energy', 'use', 'created', 'much', 'waste', 'whole', 'room', 'needs', 'dedicated', 'storage']"
52,"@mention 4:30 PM ET, watch the Nuclear Energy Town Hall Meeting from August 2 on the Florida Channel &amp; WEB1 at TheFloridaChannel.org.",2,"['pm', 'et', 'watch', 'nuclear', 'energy', 'town', 'hall', 'meeting', 'august', 'florida', 'channel', 'web', 'thefloridachannelorg']"
53,RT @mention 5 Largest #Solar Installations in the World - promising alternatives to #nuclear power plants {link},2,"['largest', 'solar', 'installations', 'world', 'promising', 'alternatives', 'nuclear', 'power', 'plants']"
54,RT @mention 66th Carnival of Nuclear Energy Bloggers online now at ANS #Nuclear Cafe {link},2,"['th', 'carnival', 'nuclear', 'energy', 'bloggers', 'online', 'ans', 'nuclear', 'cafe']"
55,RT @mention 66th Carnival of Nuclear Energy Bloggers online now at ANS Nuclear Cafe {link},2,"['th', 'carnival', 'nuclear', 'energy', 'bloggers', 'online', 'ans', 'nuclear', 'cafe']"
56,"@mention a few years ago, you told me of self sufficient nuclear power 1x1m cubes that cld power a town for 15 years. What were they called?",2,"['years', 'ago', 'told', 'self', 'sufficient', 'nuclear', 'power', 'xm', 'cubes', 'cld', 'power', 'town', 'years', 'called']"
57,RT @mention A photographer made exclusive pictures inside the #Fukushima #nuclear power plant: {link},2,"['photographer', 'made', 'exclusive', 'pictures', 'inside', 'fukushima', 'nuclear', 'power', 'plant']"
58,RT @mention A planet powered by thorium? Thorium reactors could rescue nuclear power {link},2,"['planet', 'powered', 'thorium', 'thorium', 'reactors', 'could', 'rescue', 'nuclear', 'power']"
59,RT @mention Abbasi says Russia has proposed cooperating with Iran on building new nuclear power plants in the country {link} via @mention,2,"['abbasi', 'says', 'russia', 'proposed', 'cooperating', 'iran', 'building', 'new', 'nuclear', 'power', 'plants', 'country', 'via']"
60,RT @mention Activists' Guide to Fighting Nuclear Power. Public Citizen Climate and Energy: {link} via @mention,2,"['activists', 'guide', 'fighting', 'nuclear', 'power', 'public', 'citizen', 'climate', 'energy', 'via']"
61,"RT @mention Again! TransCanada Tar Sands expose, how 7 pipelines and nuclear power fit into the overall strategy. {link}",2,"['transcanada', 'tar', 'sands', 'expose', 'pipelines', 'nuclear', 'power', 'fit', 'overall', 'strategy']"
62,RT @mention Alabama Nuclear Power Plant Gets Go-Ahead for Construction ---- {link} ----- Please RT; it's enough already!,2,"['alabama', 'nuclear', 'power', 'plant', 'gets', 'goahead', 'construction', 'please', 'enough', 'already']"
63,RT @mention An interview with @mention Nuclear Power •_Ð How safe is it and what have we learned from Japan? | {link},2,"['interview', 'nuclear', 'power', '•ð', 'safe', 'learned', 'japan']"
64,RT @mention ANS Nuclear Cafe: Saudi Arabia boosts its nuclear energy ambitions {link},2,"['ans', 'nuclear', 'cafe', 'saudi', 'arabia', 'boosts', 'nuclear', 'energy', 'ambitions']"
65,RT @mention Anti nuclear power T-shirt {link} #nonukes,0,"['anti', 'nuclear', 'power', 'tshirt', 'nonukes']"
66,RT @mention anybody want to buy a floating nuclear power plant? cheap? {link} via @mention,2,"['anybody', 'want', 'buy', 'floating', 'nuclear', 'power', 'plant', 'cheap', 'via']"
67,@mention Are you guys going to be phasing out nuclear energy then?,2,"['guys', 'going', 'phasing', 'nuclear', 'energy']"
68,"RT @mention As China pushes forward on nuclear energy, the U.S. is held back by red tape and irrational fear {link}",2,"['china', 'pushes', 'forward', 'nuclear', 'energy', 'us', 'held', 'back', 'red', 'tape', 'irrational', 'fear']"
69,"RT @mention Best part about the new Alabama nuclear power plant? If there is a meltdown, the wind will carry all the radiation to Knoxville.",2,"['best', 'part', 'new', 'alabama', 'nuclear', 'power', 'plant', 'meltdown', 'wind', 'carry', 'radiation', 'knoxville']"
70,RT @mention Blue Castle Nuclear Project Closer to Filing Licensing Application {link} #nuclear #energy #electricity #utilities,2,"['blue', 'castle', 'nuclear', 'project', 'closer', 'filing', 'licensing', 'application', 'nuclear', 'energy', 'electricity', 'utilities']"
71,@mention BREAKING: Hokkaido governor formally approves restart of commercial operations of No.3 reactor at Tomari nuclear power plant,2,"['breaking', 'hokkaido', 'governor', 'formally', 'approves', 'restart', 'commercial', 'operations', 'reactor', 'tomari', 'nuclear', 'power', 'plant']"
72,RT @mention Can Tokyo function without nuclear power? asks @mention {link},2,"['tokyo', 'function', 'without', 'nuclear', 'power', 'asks']"
73,RT @mention Canada may become the first nation in the world to use nuclear energy to ACCELERATE fossil fuel production. #cfsfcee,2,"['canada', 'may', 'become', 'first', 'nation', 'world', 'use', 'nuclear', 'energy', 'accelerate', 'fossil', 'fuel', 'production', 'cfsfcee']"
74,RT @mention China Takes Lead in Race for Clean Nuclear Power #thorium {link},2,"['china', 'takes', 'lead', 'race', 'clean', 'nuclear', 'power', 'thorium']"
75,"@mention Climate change is real, and nuclear power is safe; that these FACTS are denied by alternate groups is ULTIMATE FRUSTRATION.",1,"['climate', 'change', 'real', 'nuclear', 'power', 'safe', 'facts', 'denied', 'alternate', 'groups', 'ultimate', 'frustration']"
76,RT @mention Coal seen as possible alternative to nuclear power: EGAT {link},2,"['coal', 'seen', 'possible', 'alternative', 'nuclear', 'power', 'egat']"
77,"@mention Couple nuclear power and near-100% efficient electric motors, and you have a near-wasteless process with no carbon emission.",2,"['couple', 'nuclear', 'power', 'near', 'efficient', 'electric', 'motors', 'nearwasteless', 'process', 'carbon', 'emission']"
78,@mention Cucumbers and nuclear power.,2,"['cucumbers', 'nuclear', 'power']"
79,RT @mention Debate: Does the world need nuclear energy? {link},2,"['debate', 'world', 'need', 'nuclear', 'energy']"
80,RT @mention Devastating March 11 #earthquake leaves Japan pondering its fuel mix. See Platts The Barrel blog at {link} #nuclear #energy,2,"['devastating', 'march', 'earthquake', 'leaves', 'japan', 'pondering', 'fuel', 'mix', 'see', 'platts', 'barrel', 'blog', 'nuclear', 'energy']"
81,@mention Did they mention why Ancient Aliens came all the way to earth to mine gold or only used nuclear power? Gold only exists on Earth.,2,"['mention', 'ancient', 'aliens', 'came', 'way', 'earth', 'mine', 'gold', 'used', 'nuclear', 'power', 'gold', 'exists', 'earth']"
82,RT @mention Discussion: Is #Nuclear #Energy Safer Than Previously Thought? {link},2,"['discussion', 'nuclear', 'energy', 'safer', 'previously', 'thought']"
83,RT @mention Do you know the facts about US #nuclear energy production? Get them in our updated &quot;cheat sheet&quot; of quick facts - {link},2,"['know', 'facts', 'us', 'nuclear', 'energy', 'production', 'get', 'updated', 'quick', 'facts']"
84,RT @mention Does anyone have an informed update on the clean-up progress at #Fukushima Nuclear Power Plant? It seems to have disappeared from the news.,2,"['anyone', 'informed', 'update', 'cleanup', 'progress', 'fukushima', 'nuclear', 'power', 'plant', 'seems', 'disappeared', 'news']"
85,RT @mention Don't Count Out Nuclear Energy Just Yet: The summer meeting of the American Nuclear Society could have been a wa... {link},2,"['dont', 'count', 'nuclear', 'energy', 'yet', 'summer', 'meeting', 'american', 'nuclear', 'society', 'could', 'wa']"
86,RT @mention Exelon CEO tell ANS nation must dispense with #Fukushima fears because it needs #nuclear energy {link},2,"['exelon', 'ceo', 'tell', 'ans', 'nation', 'must', 'dispense', 'fukushima', 'fears', 'needs', 'nuclear', 'energy']"
87,RT @mention Expert commentary on the safety of #nuclear #energy {link},2,"['expert', 'commentary', 'safety', 'nuclear', 'energy']"
88,@mention Fission not a theory. It's how all nuclear power plants less than 93 million miles from Earth work.,2,"['fission', 'theory', 'nuclear', 'power', 'plants', 'less', 'million', 'miles', 'earth', 'work']"
89,RT @mention Floating Nuclear Power Plant Seized By Court: bit.ly/qYRdXw via @mention,2,"['floating', 'nuclear', 'power', 'plant', 'seized', 'court', 'bitlyqyrdxw', 'via']"
90,"RT @mention Florida senator challenges utilities on nuclear power cost recovery, again. {link} #sayfie @mention @mention",2,"['florida', 'senator', 'challenges', 'utilities', 'nuclear', 'power', 'cost', 'recovery', 'sayfie']"
91,RT @mention Florida should persevere on nuclear power plants: Great op ed article from the editors of the D... {link} #nuclear #energy,2,"['florida', 'persevere', 'nuclear', 'power', 'plants', 'great', 'op', 'ed', 'article', 'editors', 'nuclear', 'energy']"
92,RT @mention For those seeking info &gt; soundbites. RT @mention We've updated the NEI Myths &amp; Facts about nuclear energy: {link},2,"['seeking', 'info', 'facts', 'nuclear', 'energy']"
93,"RT @mention From WSMV: TVA nuke construction, rates on board agenda: Nuclear power plant safety and fossil fuel emissions ar... {link}",2,"['wsmv', 'tva', 'nuke', 'construction', 'rates', 'board', 'agenda', 'nuclear', 'power', 'plant', 'safety', 'fossil', 'fuel', 'emissions', 'ar']"
94,RT @mention Fukushima Dai-ichi nuclear power plant may not achieve cold shutdown as soon as planned: Tokyo (cont) {link},2,"['fukushima', 'daiichi', 'nuclear', 'power', 'plant', 'may', 'achieve', 'cold', 'shutdown', 'soon', 'planned', 'tokyo', 'cont']"
95,"@mention GE laser breakthrough could also lead to lower cost nuclear energy, and reduced fossil fuel sales. Motive for opposition?",2,"['ge', 'laser', 'breakthrough', 'could', 'also', 'lead', 'lower', 'cost', 'nuclear', 'energy', 'reduced', 'fossil', 'fuel', 'sales', 'motive', 'opposition']"
96,"RT @mention Germany plans to move away from nuclear power, which constitutes 22% of country•_Õs energy source, in 11 years. via @mention",2,"['germany', 'plans', 'move', 'away', 'nuclear', 'power', 'constitutes', 'country•õs', 'energy', 'source', 'years', 'via']"
97,@mention got hacked by anonymous. anonymous also hacked the FBI and a russian nuclear power plant..,2,"['got', 'hacked', 'anonymous', 'anonymous', 'also', 'hacked', 'fbi', 'russian', 'nuclear', 'power', 'plant']"
98,RT @mention Govt Expanding Civil Nuclear Energy Programme: PM {link},2,"['govt', 'expanding', 'civil', 'nuclear', 'energy', 'programme', 'pm']"
99,@mention Happy to spread the word about a fine nuclear power plant!,1,"['happy', 'spread', 'word', 'fine', 'nuclear', 'power', 'plant']"
100,"@mention has &quot;open mind on #nuclear energy,&quot; he tells FresBee edit board. Cites climate change as major reason 4 stance #559vote",2,"['tells', 'fresbee', 'edit', 'board', 'cites', 'climate', 'change', 'major', 'reason', 'stance', 'vote']"
101,"@mention has &quot;open mind&quot; on nuclear energy, but is concerned about nuclear waste and need for water to run the plant. #cagov #nuclear",2,"['nuclear', 'energy', 'concerned', 'nuclear', 'waste', 'need', 'water', 'run', 'plant', 'cagov', 'nuclear']"
102,@mention Has to follow his own advices and recognize mistakes about nuclear energy: {link} and {link},2,"['follow', 'advices', 'recognize', 'mistakes', 'nuclear', 'energy']"
103,RT @mention HILLSBOROUGH: Students Attend Nuclear Energy Forum: Hillsborough teens were among 200 New Jersey high school stu... {link},2,"['hillsborough', 'students', 'attend', 'nuclear', 'energy', 'forum', 'hillsborough', 'teens', 'among', 'new', 'jersey', 'high', 'school', 'stu']"
104,@mention hmmm read about his views on environmental and nuclear energy policies.,2,"['hmmm', 'read', 'views', 'environmental', 'nuclear', 'energy', 'policies']"
105,RT @mention How our kids are being schooled by the nuclear industry {link} via @mention,2,"['kids', 'schooled', 'nuclear', 'industry', 'via']"
106,"RT @mention I am tweeting, &quot;Stop the nuclear power plant&quot;. Please give &quot;Re-Tweet&quot; to my tweet. #no_nukes #genpatsu #&#21407;&#30330;&#12392;&#12417;&#12429;#s_t_r",0,"['tweeting', 'str']"
107,@mention I want to stop the nuclear power plant all over the world now.So I shout it everyday;)So Thanks for your RT and heart.,0,"['want', 'stop', 'nuclear', 'power', 'plant', 'world', 'nowso', 'shout', 'everydayso', 'thanks', 'heart']"
108,@mention I'd go to the MLP universe and introduce nuclear energy and warfare strategies to the ponies. #fuckthepolice,2,"['id', 'go', 'mlp', 'universe', 'introduce', 'nuclear', 'energy', 'warfare', 'strategies', 'ponies', 'fuckthepolice']"
109,"RT @mention I'm also confused how Japan's nuclear energy is not a threat, while Iran's is. How does physics not work the same all over the world?",2,"['im', 'also', 'confused', 'japans', 'nuclear', 'energy', 'threat', 'irans', 'physics', 'work', 'world']"
110,@mention I'm assuming nuclear power is a growing industry right now?,2,"['im', 'assuming', 'nuclear', 'power', 'growing', 'industry', 'right']"
111,@mention i'm skeptical that he knows shit about nuclear energy apart from &quot;the public are scared shitless of it&quot;,2,"['im', 'skeptical', 'knows', 'shit', 'nuclear', 'energy', 'apart']"
112,RT @mention Idaho Samizdat: Nuke Notes: 66th Carnival of Nuclear Energy Bloggers {link},2,"['idaho', 'samizdat', 'nuke', 'notes', 'th', 'carnival', 'nuclear', 'energy', 'bloggers']"
113,"@mention If McGuinty has his way natural gas will be redundant and expensive wind, solar and dangerous nuclear energy will replace it.",2,"['mcguinty', 'way', 'natural', 'gas', 'redundant', 'expensive', 'wind', 'solar', 'dangerous', 'nuclear', 'energy', 'replace']"
114,RT @mention if we work #TOGETHER we can phase-out nuclear power and replace it with clean energy ... :),0,"['work', 'together', 'phaseout', 'nuclear', 'power', 'replace', 'clean', 'energy']"
115,RT @mention In #national #science and #politics news: PM says Nuclear energy vital for growth!,1,"['national', 'science', 'politics', 'news', 'pm', 'says', 'nuclear', 'energy', 'vital', 'growth']"
116,"RT @mention In Japan the 6th graders take field trips to nuclear power plants? Gees, makes my field trips to the movie theater look really boring",2,"['japan', 'th', 'graders', 'take', 'field', 'trips', 'nuclear', 'power', 'plants', 'gees', 'makes', 'field', 'trips', 'movie', 'theater', 'look', 'really', 'boring']"
117,"RT @mention India - Nuclear power generation to touch 20,000 MW: The country's nuclear power generation i... {link}",2,"['india', 'nuclear', 'power', 'generation', 'touch', 'mw', 'countrys', 'nuclear', 'power', 'generation']"
118,RT @mention India to accord highest safety standards for civil nuclear energy: PM {link},2,"['india', 'accord', 'highest', 'safety', 'standards', 'civil', 'nuclear', 'energy', 'pm']"
119,RT @mention Internet. Weather Forecasting. GPS. Commercial Aviation. Freight. Nuclear Energy. What do these things have in common?,2,"['internet', 'weather', 'forecasting', 'gps', 'commercial', 'aviation', 'freight', 'nuclear', 'energy', 'things', 'common']"
120,"RT @mention Iran's Top Diplomat To Discuss Nuclear Energy Issues In Moscow: Ali Akbar Salehi, the foreign minister of Iran, ... {link}",2,"['irans', 'top', 'diplomat', 'discuss', 'nuclear', 'energy', 'issues', 'moscow', 'ali', 'akbar', 'salehi', 'foreign', 'minister', 'iran']"
121,"RT @mention Is #SaudiArabia making a transition from #oil to #nuclear ? {link} &gt; when SA is bearish on oil, we should all notice",2,"['saudiarabia', 'making', 'transition', 'oil', 'nuclear', 'sa', 'bearish', 'oil', 'notice']"
122,RT @mention Issues: Nuclear Energy &amp; Waste: Fact Sheet {link} &lt;-Reprocessing nuclear waste creates more nuclear waste,2,"['issues', 'nuclear', 'energy', 'reprocessing', 'nuclear', 'waste', 'creates', 'nuclear', 'waste']"
123,@mention it seemed like politically speaking the US was on it's way to jumping more into nuclear power but then the Japan incident happened,2,"['seemed', 'like', 'politically', 'speaking', 'us', 'way', 'jumping', 'nuclear', 'power', 'japan', 'incident', 'happened']"
124,"RT @mention It's sad that as a society, we are scared to use technology like nuclear power for progress•_É (cont) {link}",1,"['sad', 'society', 'scared', 'use', 'technology', 'like', 'nuclear', 'power', 'progress•é', 'cont']"
125,@mention lol it was from the years of working at the nuclear power plant,2,"['lol', 'years', 'working', 'nuclear', 'power', 'plant']"
126,RT @mention Mark Hibbs on Saudi Arabia•_Õs nuclear energy ambitions {link},2,"['mark', 'hibbs', 'saudi', 'arabia•õs', 'nuclear', 'energy', 'ambitions']"
127,RT @mention More good news...Russia proposes to construct nuclear plants in Iran {link},1,"['good', 'newsrussia', 'proposes', 'construct', 'nuclear', 'plants', 'iran']"
128,"RT @mention More Nuclear Power, Please. {link}",1,"['nuclear', 'power', 'please']"
129,RT @mention More potential energy than a nuclear power plant:Cannabis=safer More healing properties than alcohol:Cannabis=safer themarijuanateaparty.org,2,"['potential', 'energy', 'nuclear', 'power', 'plantcannabissafer', 'healing', 'properties', 'alcoholcannabissafer', 'themarijuanateapartyorg']"
130,"@mention Mr.Vat-&quot;Oh Mr.Burns, so insightful. Not just sitting in your office at the nuclear power plant trying to tear down schools.&quot;",2,['mrvat']
131,"@mention My &quot;agenda&quot; is spreading Calm, Certainty, and Reassurance (aka truth) about #nuclear energy in response to FUD. Yours?",1,"['spreading', 'calm', 'certainty', 'reassurance', 'aka', 'truth', 'nuclear', 'energy', 'response', 'fud']"
132,"@mention my line at work, when it's crazy.. I'm going to get a nice quiet job at the nuclear power plant..",2,"['line', 'work', 'crazy', 'im', 'going', 'get', 'nice', 'quiet', 'job', 'nuclear', 'power', 'plant']"
133,@mention Nah man. It is the same thing with nuclear power supporters and NIMBYism. They support it so long as it doesn't relate to them.,2,"['nah', 'man', 'thing', 'nuclear', 'power', 'supporters', 'nimbyism', 'support', 'long', 'doesnt', 'relate']"
134,RT @mention Nation hit by A-bombs placed big bet on nuclear power {link},2,"['nation', 'hit', 'abombs', 'placed', 'big', 'bet', 'nuclear', 'power']"
135,RT @mention New nuclear power plants are just too expensive to build. See what Exelon's CEO says: {link},0,"['new', 'nuclear', 'power', 'plants', 'expensive', 'build', 'see', 'exelons', 'ceo', 'says']"
